time,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,target-POS_X,target-POS_Y,target-POS_Z,target-ROT_X,target-ROT_Y,target-ROT_Z,target-ROT_W
1392.0,-5.003314971923828,-1.116288661956787,1.5888996124267578,-1.689995288848877,-1.045746088027954,0.0,-0.07490380108356476,1.129380702972412,0.3087477684020996,0.9340462684631348,-0.18294282257556915,-0.2773881256580353,0.13094018399715424
1393.0,-4.998175621032715,-1.1193017959594727,1.5883138179779053,-1.6963059902191162,-1.0623730421066284,0.0,-0.07491394877433777,1.128787875175476,0.30956417322158813,0.9377818703651428,-0.17834505438804626,-0.2688133716583252,0.1284434050321579
1394.0,-4.992908477783203,-1.1222405433654785,1.5877705812454224,-1.702535629272461,-1.0791923999786377,0.0,-0.07494834810495377,1.128190279006958,0.31033703684806824,0.9414215087890625,-0.17374016344547272,-0.2601226270198822,0.1260005086660385
1395.0,-4.9874982833862305,-1.125083327293396,1.5872063636779785,-1.7085862159729004,-1.0962039232254028,0.0,-0.07502207159996033,1.1275968551635742,0.31108686327934265,0.9449597001075745,-0.16912589967250824,-0.25131863355636597,0.1236390620470047
1396.0,-4.9819655418396,-1.1278690099716187,1.5867033004760742,-1.7145341634750366,-1.113376498222351,0.0,-0.07512971758842468,1.1269843578338623,0.311810702085495,0.9483925104141235,-0.16450931131839752,-0.2424171268939972,0.12133605778217316
1397.0,-4.976306915283203,-1.1305487155914307,1.5861886739730835,-1.7202949523925781,-1.1307090520858765,0.0,-0.0752701461315155,1.1263740062713623,0.3125058710575104,0.9517134428024292,-0.15989363193511963,-0.23342271149158478,0.11911991238594055
1398.0,-4.970525741577148,-1.1331366300582886,1.5857008695602417,-1.725928544998169,-1.1482058763504028,0.0,-0.07544020563364029,1.1257604360580444,0.31316661834716797,0.9549251198768616,-0.15527492761611938,-0.2243330329656601,0.11697211116552353
1399.0,-4.964651584625244,-1.1356239318847656,1.5852532386779785,-1.7313973903656006,-1.1658183336257935,0.0,-0.07562895119190216,1.1251304149627686,0.31378233432769775,0.958014190196991,-0.15067416429519653,-0.2151768058538437,0.1149134486913681
1400.0,-4.958662033081055,-1.1380183696746826,1.5848242044448853,-1.7367256879806519,-1.1835505962371826,0.0,-0.07585585117340088,1.1245044469833374,0.31437912583351135,0.9609872102737427,-0.14607343077659607,-0.2059497982263565,0.11292042583227158
1401.0,-4.952577590942383,-1.1403220891952515,1.5844587087631226,-1.7419390678405762,-1.2013911008834839,0.0,-0.07610820978879929,1.1238638162612915,0.3149328827857971,0.9638396501541138,-0.1414828598499298,-0.19666051864624023,0.11099730432033539
