time,ur20-shoulder_pan_joint,ur20-shoulder_lift_joint,ur20-elbow_joint,ur20-wrist_1_joint,ur20-wrist_2_joint,ur20-wrist_3_joint,target-POS_X,target-POS_Y,target-POS_Z,target-ROT_X,target-ROT_Y,target-ROT_Z,target-ROT_W
0.0,1.9935601393329065,-0.6619694868670862,1.4491405487060547,-0.7871711889850062,-2.7188093662261963,0.0,-0.28499817848205566,1.006584882736206,0.09066534042358398,0.5000048279762268,0.4999951422214508,0.4999951422214508,0.5000048279762268
1.0,1.9873736599943617,-0.6525998947639792,1.4191596671861697,-0.7665591156142157,-2.7249960839833203,0.0,-0.28501462936401367,1.0248719453811646,0.09498202800750732,0.5000045895576477,0.49999526143074036,0.49999508261680603,0.5000049471855164
2.0,1.9814566686503174,-0.6430330016882797,1.389178785666285,-0.7461456598969878,-2.730913245301197,0.0,-0.285000205039978,1.0427607297897339,0.09922574460506439,0.500004768371582,0.49999523162841797,0.4999951720237732,0.500004768371582
3.0,1.9758478325658142,-0.6332401396995112,1.3591979041464,-0.7259577720650209,-2.736522059815421,0.0,-0.28501415252685547,1.0602195262908936,0.10334797203540802,0.5000047087669373,0.4999951720237732,0.4999951124191284,0.5000048279762268
4.0,1.9704782797439289,-0.6232707219277679,1.3292170226265152,-0.7059463746324254,-2.741891642682826,0.0,-0.2850005626678467,1.0772885084152222,0.10739700496196747,0.5000047087669373,0.4999952018260956,0.4999952018260956,0.500004768371582
5.0,1.9746933730683998,-0.6306074808165679,1.3529049531011335,-0.7222974650441095,-2.737676542476189,0.0,-0.2850109338760376,1.0638536214828491,0.10351485013961792,0.5000047087669373,0.49999526143074036,0.49999526143074036,0.5000047087669373
6.0,1.980258577609494,-0.6404268804780725,1.3828858346210184,-0.7424589899354841,-2.732111166368188,0.0,-0.28501033782958984,1.046469807624817,0.09940221905708313,0.500004768371582,0.4999952018260956,0.4999952018260956,0.500004768371582
7.0,1.986101806617061,-0.6500512552511841,1.4128667161409032,-0.7628157374800144,-2.726268084905226,0.0,-0.28501009941101074,1.0286747217178345,0.09520361572504044,0.5000048279762268,0.49999523162841797,0.49999523162841797,0.5000047087669373
8.0,1.9862229460608065,-0.6498927278007799,1.4129694818832792,-0.7630767857891161,-2.7261470363354547,0.0,-0.2851148843765259,1.0285483598709106,0.09495730698108673,0.5000047087669373,0.4999952018260956,0.49999526143074036,0.5000047087669373
9.0,1.980384366265276,-0.6400401243958221,1.3829886003633944,-0.7429485633414854,-2.7319856161309852,0.0,-0.28512513637542725,1.0463463068008423,0.09887207299470901,0.500004768371582,0.49999523162841797,0.49999523162841797,0.5000047087669373
10.0,1.9747090820403506,-0.6301301688454045,1.3530077188435095,-0.7228776692073945,-2.7376607868788323,0.0,-0.28501296043395996,1.0638089179992676,0.10286536067724228,0.500004768371582,0.4999951422214508,0.4999952018260956,0.5000047087669373
11.0,1.969391832439001,-0.6201773624817954,1.3230268373236247,-0.702849538646712,-2.742978142543919,0.0,-0.2849997282028198,1.0807976722717285,0.10694913566112518,0.5000047087669373,0.49999526143074036,0.49999526143074036,0.5000047087669373
