time,ur20-shoulder_pan_joint,ur20-shoulder_lift_joint,ur20-elbow_joint,ur20-wrist_1_joint,ur20-wrist_2_joint,ur20-wrist_3_joint,target-POS_X,target-POS_Y,target-POS_Z,target-ROT_X,target-ROT_Y,target-ROT_Z,target-ROT_W,waypoint_kind
0.0,2.995978832244873,-1.2474974393844604,2.6432323455810547,-1.3957349061965942,-4.6176144520389,-4.7123889366733,-0.7125033140182495,-0.07041604071855545,0.17677967250347137,0.4364401400089264,-0.5563452243804932,-0.5563451647758484,0.4364401400089264,viewpoint
0.9986094199120998,3.0122150072968448,-1.2232034331089001,2.6400941296696208,-1.4168906652261897,-4.589937507167702,-4.7123889366733,-0.7138673663139343,-0.07344314455986023,0.16736170649528503,0.4332505464553833,-0.5588326454162598,-0.5588326454162598,0.4332505762577057,interpolated
1.9983605481684208,3.028231580154696,-1.1992380151286128,2.6369983596604736,-1.4377602822866142,-4.562634906487844,-4.7123889366733,-0.7148668169975281,-0.07656962424516678,0.15791837871074677,0.4300902187824249,-0.5612685680389404,-0.5612685680389404,0.43009018898010254,interpolated
2.9973838478326797,3.044001013590518,-1.1756423890882697,2.6339503580982715,-1.4583078763309991,-4.535753591248498,-4.7123889366733,-0.7155072689056396,-0.07977332919836044,0.1484774649143219,0.42696526646614075,-0.5636494159698486,-0.5636493563652039,0.4269651472568512,interpolated
3.993577142504293,3.0577478408813477,-1.1550731658935547,2.631293296813965,-1.4762200117111206,-4.512320105229513,-4.7123889366733,-0.7157816290855408,-0.08265909552574158,0.14013521373271942,0.4242301881313324,-0.5657107830047607,-0.5657107830047607,0.42423015832901,viewpoint
6.772360198389119,3.0594308376312256,-1.1226974725723267,2.633141040802002,-1.5104434490203857,-4.510637108479635,-4.7123889366733,-0.7159823775291443,-0.08334700018167496,0.12652355432510376,0.42423027753829956,-0.5657107830047607,-0.565710723400116,0.4242302477359772,viewpoint
8.30569438479563,3.0833314901714157,-1.1341964193753726,2.621024529178173,-1.486827990593511,-4.467957275955296,-4.712388962411602,-0.7184782028198242,-0.08784942328929901,0.13200710713863373,0.4188999533653259,-0.5696691274642944,-0.5696690082550049,0.4188998341560364,interpolated
9.304964112413133,3.1137153818626517,-1.1488145455390635,2.605621318900338,-1.4568066541519848,-4.413700204662408,-4.71238899513162,-0.7210595607757568,-0.09404084086418152,0.13941365480422974,0.41207021474838257,-0.5746287107467651,-0.5746287107467651,0.4120701551437378,interpolated
10.30354391626736,3.1425947885502197,-1.1627088423849532,2.590980812067698,-1.4282718504734553,-4.36212971976644,-4.712389026231477,-0.7228652238845825,-0.1003948450088501,0.14690247178077698,0.4055243730545044,-0.5792667269706726,-0.5792667269706726,0.4055243730545044,interpolated
11.61782094160353,3.170128885899679,-1.175955891609192,2.5770223140716553,-1.4010663032531738,-4.312961578369141,-4.712389055882589,-0.7239678502082825,-0.10686048865318298,0.15444707870483398,0.3992348611354828,-0.5836194157600403,-0.5836192965507507,0.399234801530838,viewpoint
13.590484646516991,3.1707651615142822,-1.2069777250289917,2.5729997158050537,-1.366021990776062,-4.312325302754537,-4.712389055882589,-0.724081814289093,-0.10715337097644806,0.16910238564014435,0.3992348611354828,-0.5836192965507507,-0.5836192965507507,0.3992348313331604,viewpoint
14.30729785596917,3.185308324022284,-1.2117501095889498,2.5628811885218643,-1.351131060713743,-4.284423114600713,-4.712389037663417,-0.7262182831764221,-0.11028667539358139,0.17284274101257324,0.39532774686813354,-0.5862729549407959,-0.5862730145454407,0.39532774686813354,interpolated
15.3064549866874,3.211711438032572,-1.2204143745703924,2.5445110005158345,-1.32409657464936,-4.233766687255108,-4.712389004586507,-0.7295941114425659,-0.11639992892742157,0.17998860776424408,0.3881891965866089,-0.5910238027572632,-0.5910238027572632,0.3881891071796417,interpolated
16.306153029556967,3.2369899884268336,-1.2287096104610258,2.5269232370769625,-1.29821354365176,-4.185267822653374,-4.712388972918411,-0.7321938872337341,-0.12275169044733047,0.18725743889808655,0.3813013732433319,-0.5954907536506653,-0.5954907536506653,0.3813013732433319,interpolated
18.193699246394225,3.2659220695495605,-1.238203763961792,2.50679349899292,-1.2685896158218384,-4.129759375249044,-4.7123889366733,-0.734373927116394,-0.1305968314409256,0.19608472287654877,0.3733549118041992,-0.6005048155784607,-0.6005048155784607,0.37335485219955444,viewpoint
19.446466554072625,3.28571607706828,-1.222455285646908,2.4932207708965186,-1.2707653970437665,-4.089094327518282,-4.712388994809578,-0.7374916076660156,-0.13596123456954956,0.19108152389526367,0.3670681118965149,-0.604368269443512,-0.604368269443512,0.3670680522918701,interpolated
20.308689836529023,3.3065099716186523,-1.2059112787246704,2.4789624214172363,-1.2730510870562952,-4.046375099812643,-4.712389055882589,-0.7402955293655396,-0.14200863242149353,0.1856125295162201,0.3604207932949066,-0.6083558797836304,-0.6083558797836304,0.3604208528995514,viewpoint
21.44483352836681,3.331540505325053,-1.186305038357611,2.4524002274887904,-1.2660951573964756,-3.986154084925613,-4.7123890431361435,-0.7480871081352234,-0.14882472157478333,0.1809312403202057,0.34966132044792175,-0.6146030426025391,-0.6146029829978943,0.34966135025024414,interpolated
22.443945862469203,3.3533183394592267,-1.1692466146053688,2.4292897712596635,-1.2600431457151668,-3.9337587469362365,-4.712389032046088,-0.7540944218635559,-0.1555539220571518,0.17663559317588806,0.3402119278907776,-0.61988365650177,-0.6198837161064148,0.3402118682861328,interpolated
23.442655678954846,3.3746821420328392,-1.1525124988519546,2.4066186818747726,-1.254106192483909,-3.8823595283690313,-4.7123890211668735,-0.7592695951461792,-0.16286692023277283,0.17222200334072113,0.3308646082878113,-0.6249228119850159,-0.6249228119850159,0.33086469769477844,interpolated
24.441527452436215,3.395502896160358,-1.136203749113103,2.384523870978662,-1.2483201512083135,-3.8322668312264265,-4.712389010564198,-0.7636115550994873,-0.17066174745559692,0.16773173213005066,0.32168319821357727,-0.6296982765197754,-0.6296982765197754,0.3216831684112549,interpolated
25.441187311080224,3.4156967100398847,-1.120386077245067,2.3630943638529,-1.2427083352335881,-3.783682490975067,-4.712389000280783,-0.7671462893486023,-0.1788412630558014,0.16320037841796875,0.31271231174468994,-0.6342009902000427,-0.6342010498046875,0.3127123713493347,interpolated
26.687148369514716,3.431349992752075,-1.1081249713897705,2.3464832305908203,-1.2383583227740687,-3.7460222244262695,-4.71238899230957,-0.7694189548492432,-0.1855943351984024,0.1595688909292221,0.3057151436805725,-0.6376035213470459,-0.6376035213470459,0.3057151734828949,viewpoint
28.555444706117214,3.431181245818993,-1.0896397209658548,2.3485774914380952,-1.2589378851497213,-3.746190896403882,-4.712389019563025,-0.7694506645202637,-0.1854940950870514,0.14757755398750305,0.30571508407592773,-0.6376035213470459,-0.6376035213470459,0.30571505427360535,interpolated
29.554870709662737,3.4310402791300305,-1.074197635593925,2.3503269811151664,-1.276129502890027,-3.746331800477044,-4.712389042329834,-0.7693073749542236,-0.1853598803281784,0.13758522272109985,0.30571505427360535,-0.6376035213470459,-0.6376035213470459,0.3057151138782501,interpolated
30.890626643169497,3.4309563636779785,-1.0650051832199097,2.3513684272766113,-1.28636342683901,-3.746415678654806,-4.712389055882589,-0.7691489458084106,-0.18525826930999756,0.13164876401424408,0.30571499466896057,-0.6376035213470459,-0.6376035809516907,0.3057151436805725,viewpoint
34.047383652634075,3.4403724835732827,-1.0782986866870894,2.332078205959017,-1.2537796601007114,-3.7168849269144806,-4.712389028520806,-0.7739314436912537,-0.1894361972808838,0.14416661858558655,0.2992871105670929,-0.6406459212303162,-0.6406459212303162,0.2992871105670929,interpolated
35.047013708955696,3.4469083177004642,-1.08752585611533,2.318688647604807,-1.2311629031978497,-3.6963873018659728,-4.712389009528686,-0.7769532799720764,-0.192440003156662,0.153209388256073,0.2948075234889984,-0.642719566822052,-0.6427196264266968,0.2948076128959656,interpolated
36.04551500231688,3.4533025547841305,-1.0965531214631377,2.3055891703389544,-1.209036132094664,-3.676333752210059,-4.712388990948026,-0.7796660661697388,-0.19545575976371765,0.16233333945274353,0.29041120409965515,-0.6447179913520813,-0.6447179913520813,0.29041117429733276,interpolated
37.044804846502,3.459573067724315,-1.1054057153593673,2.292743159058733,-1.1873374989799415,-3.6566682251160993,-4.712388972726888,-0.7820869088172913,-0.19848224520683289,0.17154408991336823,0.28608670830726624,-0.6466485857963562,-0.6466485857963562,0.28608670830726624,interpolated
38.04465795458024,3.465723600111877,-1.114088922936178,2.2801429445015375,-1.166054049442236,-3.637378979967626,-4.712388954854395,-0.7842254042625427,-0.2015128880739212,0.18082916736602783,0.2818325459957123,-0.6485140323638916,-0.6485139727592468,0.2818324565887451,interpolated
40.4018643121968,3.471980333328247,-1.1229220628738403,2.2673251628875732,-1.144403100013733,-3.6177566687213343,-4.7123889366733,-0.7861559987068176,-0.20465430617332458,0.19052597880363464,0.2774924039840698,-0.6503829956054688,-0.650382936000824,0.27749234437942505,viewpoint
42.58893232801124,3.472094457145246,-1.109388429701099,2.2689616819688205,-1.15957326793739,-3.6176425292346672,-4.7123889503866945,-0.7864704728126526,-0.2048436999320984,0.18090757727622986,0.2774924337863922,-0.650382936000824,-0.650382936000824,0.2774924635887146,interpolated
43.58831549071833,3.472213156200086,-1.0953122315120858,2.270663809301054,-1.1753516097565035,-3.6175238138819594,-4.712388964649861,-0.786659836769104,-0.20499339699745178,0.17091666162014008,0.2774924337863922,-0.650382936000824,-0.650382936000824,0.2774924635887146,interpolated
44.58773618572518,3.47233207022866,-1.081210540172537,2.2723690193256254,-1.191158527448008,-3.6174048835260018,-4.7123889789388596,-0.7867090702056885,-0.205095112323761,0.1609230935573578,0.27749237418174744,-0.650382936000824,-0.650382936000824,0.2774924337863922,interpolated
